DECIMAL,HEXADECIMAL,DESCRIPTION
260170,260170,"MIPS executable code, 32/64-bit, big endian, at least 968 valid instructions"
DECIMAL,HEXADECIMAL,DESCRIPTION
265726,265726,"Raw LZMA compression stream, properties: 0x6E [pb: 2, lp: 0, lc: 0], dictionary size: 33554432"
344062,344062,"Raw LZMA compression stream, properties: 0x6E [pb: 2, lp: 0, lc: 0], dictionary size: 33554432"
409598,409598,"Raw LZMA compression stream, properties: 0x6E [pb: 2, lp: 0, lc: 0], dictionary size: 33554432"
463227,463227,"Raw LZMA compression stream, properties: 0x6E [pb: 2, lp: 0, lc: 0], dictionary size: 33554432"
5298816,5298816,"Raw LZMA compression stream, properties: 0x6E [pb: 2, lp: 0, lc: 0], dictionary size: 33554432"
DECIMAL,HEXADECIMAL,DESCRIPTION
328704,328704,"JPEG image data, JFIF standard 1.01"
338944,338944,"JPEG image data, JFIF standard 1.01"
524520,524520,"Intel x86 or x64 microcode, sig 0x00111000, pf_mask 0x1c3110, 1C11-01-11, rev 0x11100000, size 1888721"
1924931,1924931,"Intel x86 or x64 microcode, sig 0x07ff0100, pf_mask 0xccd3f69a, 1E00-08-24, size 191"
1927187,1927187,"Intel x86 or x64 microcode, sig 0x07ff0100, pf_mask 0xccd3f69a, 1E00-08-24, size 191"
1941315,1941315,"Intel x86 or x64 microcode, sig 0x07ff0100, pf_mask 0xccd3f69a, 1E00-08-24, size 191"
1943571,1943571,"Intel x86 or x64 microcode, sig 0x07ff0100, pf_mask 0xccd3f69a, 1E00-08-24, size 191"
1957699,1957699,"Intel x86 or x64 microcode, sig 0x07ff0100, pf_mask 0xccd3f69a, 1E00-08-24, size 2048"
1958263,1958263,"Intel x86 or x64 microcode, sig 0x07ff0100, pf_mask 0xccd3f69a, 1E00-09-24, size 191"
1959955,1959955,"Intel x86 or x64 microcode, sig 0x07ff0100, pf_mask 0xccd3f69a, 1E00-08-24, size 2048"
2049276,2049276,"Intel x86 or x64 microcode, sig 0x01cadddb, pf_mask 0xda11111a, 1BBD-11-11, rev 0x-225df000, size 2048"
2049291,2049291,"Intel x86 or x64 microcode, sig 0x001cddda, pf_mask 0xaaa111aa, 1AAD-11-11, rev 0x-22df0000, size 2048"
2065660,2065660,"Intel x86 or x64 microcode, sig 0x01cadddb, pf_mask 0xda11111a, 1BBD-11-11, rev 0x-225df000, size 2048"
2065675,2065675,"Intel x86 or x64 microcode, sig 0x001cddda, pf_mask 0xaaa111aa, 1AAD-11-11, rev 0x-22df0000, size 2048"
2082044,2082044,"Intel x86 or x64 microcode, sig 0x01cadddb, pf_mask 0xda11111a, 1BBD-11-11, rev 0x-225df000, size 2048"
2082059,2082059,"Intel x86 or x64 microcode, sig 0x001cddda, pf_mask 0xaaa111aa, 1AAD-11-11, rev 0x-22df0000, size 2048"
2104745,2104745,"Qualcomm device tree container, version: 1118481, DTB entries: 0"
2109325,2109325,"Qualcomm device tree container, version: 1118481, DTB entries: 0"
2179713,2179713,"Intel x86 or x64 microcode, sig 0x01000100, pf_mask 0x111119, 1913-01-22, rev 0x18131000, size 2048"
2179728,2179728,"Intel x86 or x64 microcode, sig 0x01100100, pf_mask 0x11b1aa11, 1914-11-11, rev 0x41441000, size 2048"
2196097,2196097,"Intel x86 or x64 microcode, sig 0x01000100, pf_mask 0x111119, 1913-01-22, rev 0x18131000, size 2048"
2196112,2196112,"Intel x86 or x64 microcode, sig 0x01100100, pf_mask 0x11b1aa11, 1914-11-11, rev 0x41441000, size 2048"
2212481,2212481,"Intel x86 or x64 microcode, sig 0x01000100, pf_mask 0x111119, 1913-01-22, rev 0x18131000, size 2048"
2212496,2212496,"Intel x86 or x64 microcode, sig 0x01100100, pf_mask 0x11b1aa11, 1914-11-11, rev 0x41441000, size 2048"
2250571,2250571,"Intel x86 or x64 microcode, sig 0x07ff0100, pf_mask 0xf7ffff3f, 2000-09-24, size 65691"
2266955,2266955,"Intel x86 or x64 microcode, sig 0x07ff0100, pf_mask 0xf7ffff3f, 2000-09-24, size 65691"
2283339,2283339,"Intel x86 or x64 microcode, sig 0x07ff0100, pf_mask 0xf7ffff3f, 2000-09-24, size 155"
2314194,2314194,"Intel x86 or x64 microcode, sig 0x15979999, pf_mask 0x17171a19, 1A19-11-11, rev 0x-666667f0, size 16"
2314786,2314786,"Intel x86 or x64 microcode, sig 0x10159999, pf_mask 0x11111a19, 1A19-11-11, rev 0x-666667f0, size 23"
2314802,2314802,"Intel x86 or x64 microcode, sig 0x61159999, pf_mask 0xcbbbba19, 1A19-11-11, rev 0x-666667f0, size 23"
2316002,2316002,"Intel x86 or x64 microcode, sig 0x15979999, pf_mask 0x17171a19, 1A19-11-11, rev 0x-666667f0, size 2048"
2317206,2317206,"Intel x86 or x64 microcode, sig 0x17969991, pf_mask 0x16161a19, 1A19-11-11, rev 0x-666667f0, size 2048"
2323812,2323812,"Intel x86 or x64 microcode, sig 0xb9999999, pf_mask 0x1c222199, 1999-12-11, rev 0x-66efef00, size 337"
2323877,2323877,"Intel x86 or x64 microcode, sig 0x16555561, pf_mask 0x55526114, 1A71-16-11, rev 0x11554110, size 2048"
2324372,2324372,"Intel x86 or x64 microcode, sig 0xb9999999, pf_mask 0x1c222199, 1999-12-11, rev 0x-66f00000, size 337"
2324437,2324437,"Intel x86 or x64 microcode, sig 0x16555561, pf_mask 0x55526114, 1A71-16-11, rev 0x11554100, size 2048"
2330578,2330578,"Intel x86 or x64 microcode, sig 0x15979999, pf_mask 0x17171a19, 1A19-11-11, rev 0x-666667f0, size 16"
2331170,2331170,"Intel x86 or x64 microcode, sig 0x10159999, pf_mask 0x11111a19, 1A19-11-11, rev 0x-666667f0, size 23"
2331186,2331186,"Intel x86 or x64 microcode, sig 0x61159999, pf_mask 0xcbbbba19, 1A19-11-11, rev 0x-666667f0, size 23"
2332386,2332386,"Intel x86 or x64 microcode, sig 0x15979999, pf_mask 0x17171a19, 1A19-11-11, rev 0x-666667f0, size 2048"
2333590,2333590,"Intel x86 or x64 microcode, sig 0x17969991, pf_mask 0x16161a19, 1A19-11-11, rev 0x-666667f0, size 2048"
2340196,2340196,"Intel x86 or x64 microcode, sig 0xb9999999, pf_mask 0x1c222199, 1999-12-11, rev 0x-66efef00, size 337"
2340261,2340261,"Intel x86 or x64 microcode, sig 0x16555561, pf_mask 0x55526114, 1A71-16-11, rev 0x11554110, size 2048"
2340756,2340756,"Intel x86 or x64 microcode, sig 0xb9999999, pf_mask 0x1c222199, 1999-12-11, rev 0x-66f00000, size 337"
2340821,2340821,"Intel x86 or x64 microcode, sig 0x16555561, pf_mask 0x55526114, 1A71-16-11, rev 0x11554100, size 2048"
2346962,2346962,"Intel x86 or x64 microcode, sig 0x15979999, pf_mask 0x17171a19, 1A19-11-11, rev 0x-666667f0, size 16"
2347554,2347554,"Intel x86 or x64 microcode, sig 0x10159999, pf_mask 0x11111a19, 1A19-11-11, rev 0x-666667f0, size 23"
2347570,2347570,"Intel x86 or x64 microcode, sig 0x61159999, pf_mask 0xcbbbba19, 1A19-11-11, rev 0x-666667f0, size 23"
2348770,2348770,"Intel x86 or x64 microcode, sig 0x15979999, pf_mask 0x17171a19, 1A19-11-11, rev 0x-666667f0, size 2048"
2349974,2349974,"Intel x86 or x64 microcode, sig 0x17969991, pf_mask 0x16161a19, 1A19-11-11, rev 0x-666667f0, size 2048"
2356580,2356580,"Intel x86 or x64 microcode, sig 0xb9999999, pf_mask 0x1c222199, 1999-12-11, rev 0x-66efef00, size 337"
2356645,2356645,"Intel x86 or x64 microcode, sig 0x16555561, pf_mask 0x55526114, 1A71-16-11, rev 0x11554110, size 2048"
2357140,2357140,"Intel x86 or x64 microcode, sig 0xb9999999, pf_mask 0x1c222199, 1999-12-11, rev 0x-66f00000, size 337"
2357205,2357205,"Intel x86 or x64 microcode, sig 0x16555561, pf_mask 0x55526114, 1A71-16-11, rev 0x11554100, size 2048"
5140640,5140640,"JPEG image data, JFIF standard 1.01"
5157024,5157024,"JPEG image data, JFIF standard 1.01"
5173408,5173408,"JPEG image data, JFIF standard 1.01"
5184495,5184495,StuffIt Deluxe Segment (data): fffV5
